_id,title,pictures,price,url,"specs.Вес, кг",specs.Страна производства,specs.Назначение,specs.Запах,specs.Применение,specs.Расход (в м² / л),specs.Тип ЛКМ,specs.Цвет,specs.Уход,specs.Марка,specs.Время полного высыхания (ч),specs.Применение продукта,specs.Гарантия (лет),specs.Цветовая палитра,specs.Тепловое сопротивление,specs.Объем (л),specs.Внешний вид,specs.Эффект,specs.Предназначен для,specs.Материал поверхности применения,specs.Время высыхания между 2 слоями (ч),specs.Тип упаковки,specs.Тип продукта,specs.Возможность колеровки онлайн,specs.Экологическая сертификация
5f2c06689de483a2ff8b8b3c,"Краска для фасадов, 10 кг","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17556486.jpg"",""path"":""files/Краска для фасадов, 10 кг/17556486.jpg"",""checksum"":""3b3a1540b6bed1e7a53e229b6f9c5f00"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17556486_01.jpg"",""path"":""files/Краска для фасадов, 10 кг/17556486_01.jpg"",""checksum"":""685e6d6ceaaf79fe84df223f081dbb89"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17556486_02.jpg"",""path"":""files/Краска для фасадов, 10 кг/17556486_02.jpg"",""checksum"":""568bb975d00268069bc863f0210d3cd9"",""status"":""uptodate""}]",338,https://leroymerlin.ru/product/kraska-dlya-fasadov-17556486/,11.3,Россия,Внутренний и внешний,Без запаха,В несколько слоев,8,На водной основе,Белый,Не моющийся,ЛАТЕК,"1, 1.0",Защита фасадов и ремонт стен,true,Белый,Нет,8,Гладкий,Гладкий,Стена,"Бетон, Камень, Кирпич, Строительный блок, Цемент, Штукатурка",0.5,Ведро,Акриловая краска,Нет,Отсутствует
5f2c06989de483a2ff8b8b3d,Миксер для краски,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82405695.jpg"",""path"":""files/Миксер для краски/82405695.jpg"",""checksum"":""ab089219f20a4b8fc558864a368b8f63"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82405695_01.jpg"",""path"":""files/Миксер для краски/82405695_01.jpg"",""checksum"":""7d99e0fd9aa33cc7046edfb6e5b03c78"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82405695_02.jpg"",""path"":""files/Миксер для краски/82405695_02.jpg"",""checksum"":""38baa8135aca8f6f5b72bd5a81f2f12e"",""status"":""downloaded""}]",68,https://leroymerlin.ru/product/mikser-dlya-kraski-82405695/,,Китай,,,,,,,,MATRIX,,,Отсутствует,,,,,,,,,,Насадка-миксер,,
5f2c06e5558abb54443b3cee,"Краска для фасадов, 10 кг","[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17556486.jpg"",""path"":""files/Краска для фасадов, 10 кг/17556486.jpg"",""checksum"":""3b3a1540b6bed1e7a53e229b6f9c5f00"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17556486_01.jpg"",""path"":""files/Краска для фасадов, 10 кг/17556486_01.jpg"",""checksum"":""685e6d6ceaaf79fe84df223f081dbb89"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17556486_02.jpg"",""path"":""files/Краска для фасадов, 10 кг/17556486_02.jpg"",""checksum"":""568bb975d00268069bc863f0210d3cd9"",""status"":""uptodate""}]",338,https://leroymerlin.ru/product/kraska-dlya-fasadov-17556486/,11.3,Россия,Внутренний и внешний,Без запаха,В несколько слоев,8,На водной основе,Белый,Не моющийся,ЛАТЕК,"1, 1.0",Защита фасадов и ремонт стен,true,Белый,Нет,8,Гладкий,Гладкий,Стена,"Бетон, Камень, Кирпич, Строительный блок, Цемент, Штукатурка",0.5,Ведро,Акриловая краска,Нет,Отсутствует
5f2c06ee558abb54443b3cef,Краска Soppka интерьерная по OSB 5 л,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/81965752.jpg"",""path"":""files/Краска Soppka интерьерная по OSB 5 л/81965752.jpg"",""checksum"":""21e9fe5f6ad383f06c7ac8d954953edf"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/81965752_01.jpg"",""path"":""files/Краска Soppka интерьерная по OSB 5 л/81965752_01.jpg"",""checksum"":""257d5cf1cd20531352ca420d06767fb1"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/81965752_02.jpg"",""path"":""files/Краска Soppka интерьерная по OSB 5 л/81965752_02.jpg"",""checksum"":""81fc7898c489e292704172ddaade92d5"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/81965752_03.jpg"",""path"":""files/Краска Soppka интерьерная по OSB 5 л/81965752_03.jpg"",""checksum"":""447b3eb41aa0186f1ac8ff81da8306f6"",""status"":""downloaded""}]",1353,https://leroymerlin.ru/product/kraska-soppka-interernaya-po-osb-5-l-81965752/,7.2,Россия,"Гардеробная, Гостиная, Коридор, Спальня",Без запаха,,40,На водной основе,Белый,Не моющийся,SOPPKA,"2, 24.0",,10,Белый,,"5, 5.0",Матовый,Матовый глубокий,Для стен и потолка,Дерево,3.0,,"Акриловая краска, Краска для внутреннего применения на поверхностях разного типа",Да,Отсутствует
5f2c06fd558abb54443b3cf0,Краска для стен и потолков Profilux 7 кг,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82141654.jpg"",""path"":""files/Краска для стен и потолков Profilux 7 кг/82141654.jpg"",""checksum"":""0a261a60247b38c1b066c7ad0a7d4636"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82141654_01.jpg"",""path"":""files/Краска для стен и потолков Profilux 7 кг/82141654_01.jpg"",""checksum"":""72a1cbdce7419db41ae8b3c66bbbccb6"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82141654_02.jpg"",""path"":""files/Краска для стен и потолков Profilux 7 кг/82141654_02.jpg"",""checksum"":""a1b890a7177a93895671eb49f9e62725"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82141654_03.jpg"",""path"":""files/Краска для стен и потолков Profilux 7 кг/82141654_03.jpg"",""checksum"":""942a9ffa9c1329f87533bfe216918a3d"",""status"":""downloaded""}]",245,https://leroymerlin.ru/product/kraska-dlya-sten-i-potolkov-profilux-7-kg-82141654/,7.1,Россия,"Гардеробная, Гостиная, Коридор, Спальня",Без запаха,,10,,Белый,Не моющийся,PROFILUX,24.0,,2,Белый,,"5, 5.0",Матовый глубокий,Матовый глубокий,Для стен и потолка,"Шпатлевка, Бетон, Цемент, Кирпич, Гипс",2.0,,Краска для внутренних покрытий,Нет,Отсутствует
5f2c0711558abb54443b3cf1,Краска для потолков Ярославские Краски цвет белый 10 л,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111498.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 10 л/82111498.jpg"",""checksum"":""614076e33d42e258da31123429d95711"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111498_01.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 10 л/82111498_01.jpg"",""checksum"":""405efd6f2f4f3481e0b1d281f51efb99"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111498_02.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 10 л/82111498_02.jpg"",""checksum"":""ef5c85af12544f68085450a1efe306f4"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111498_03.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 10 л/82111498_03.jpg"",""checksum"":""e6d4a629ca8d8a516fe8db5ed2624f20"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111498_i.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 10 л/82111498_i.jpg"",""checksum"":""490d2cf9343562efb9772178dcc7fa5c"",""status"":""downloaded""}]",1280,https://leroymerlin.ru/product/kraska-dlya-potolkov-yaroslavskie-kraski-cvet-belyy-10-l-82111498/,15.3,Россия,"Гардеробная, Гостиная, Коридор, Спальня",Без запаха,,6,На водной основе,Белый,Влажная уборка,ЯРОСЛАВСКИЕ КРАСКИ,"24, 24.0",,2,Белый,,"10, 10.0",Матовый,Матовый глубокий,Потолок,"Шпатлевка, Бетон, Цемент, Кирпич, Гипс","2, 2.0",,Краска для внутренних покрытий,Нет,Отсутствует
5f2c0721558abb54443b3cf2,Краска для потолков Ярославские Краски цвет белый 5 л,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111497.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 5 л/82111497.jpg"",""checksum"":""0e4dd8690f8dde0e0663c27e91479fed"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111497_01.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 5 л/82111497_01.jpg"",""checksum"":""44f45a117571a6b8c6f8ebf8d85b883c"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111497_02.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 5 л/82111497_02.jpg"",""checksum"":""42027c0b7623f52594bcffab7b835a6a"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111497_03.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 5 л/82111497_03.jpg"",""checksum"":""e6d4a629ca8d8a516fe8db5ed2624f20"",""status"":""downloaded""}]",622,https://leroymerlin.ru/product/kraska-dlya-potolkov-yaroslavskie-kraski-cvet-belyy-5-l-82111497/,7.6,Россия,"Гардеробная, Гостиная, Коридор, Спальня",Без запаха,,6,На водной основе,Белый,Влажная уборка,ЯРОСЛАВСКИЕ КРАСКИ,"24, 24.0",,2,Белый,,"5, 5.0",Матовый,Матовый глубокий,Потолок,"Шпатлевка, Бетон, Цемент, Кирпич, Гипс","2, 2.0",,Краска для внутренних покрытий,Нет,Отсутствует
5f2c0723558abb54443b3cf3,Краска фасадная Profilux 15 кг цвет белый,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82419185.jpg"",""path"":""files/Краска фасадная Profilux 15 кг цвет белый/82419185.jpg"",""checksum"":""51ad599aa7d9d25e47b36047d26cd0a5"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82419185_01.jpg"",""path"":""files/Краска фасадная Profilux 15 кг цвет белый/82419185_01.jpg"",""checksum"":""d6d95175665bc4ec556c68b8f036ae9e"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82419185_02.jpg"",""path"":""files/Краска фасадная Profilux 15 кг цвет белый/82419185_02.jpg"",""checksum"":""61aaf9e4ef4cc61dea7f9c4c888aa633"",""status"":""uptodate""}]",873,https://leroymerlin.ru/product/kraska-fasadnaya-profilux-15-kg-cvet-belyy-82419185/,10.0,Россия,,,В несколько слоев,,На водной основе,,,PROFILUX,48,Защита фасадов,,Белый,,10.0,Матовый,,Фасад,"Бетон, Камень, Кирпич, Строительный блок, Цемент, Штукатурка",2.0,Ведро,Водорастворимая краска для фасада,Нет,
5f2c072c558abb54443b3cf4,Миксер для краски,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82405695.jpg"",""path"":""files/Миксер для краски/82405695.jpg"",""checksum"":""ab089219f20a4b8fc558864a368b8f63"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82405695_01.jpg"",""path"":""files/Миксер для краски/82405695_01.jpg"",""checksum"":""7d99e0fd9aa33cc7046edfb6e5b03c78"",""status"":""uptodate""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82405695_02.jpg"",""path"":""files/Миксер для краски/82405695_02.jpg"",""checksum"":""38baa8135aca8f6f5b72bd5a81f2f12e"",""status"":""uptodate""}]",68,https://leroymerlin.ru/product/mikser-dlya-kraski-82405695/,,Китай,,,,,,,,MATRIX,,,Отсутствует,,,,,,,,,,Насадка-миксер,,
5f2c072f558abb54443b3cf5,Краска для потолков ВД супербелая 14 кг,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82126368.jpg"",""path"":""files/Краска для потолков ВД супербелая 14 кг/82126368.jpg"",""checksum"":""a264c0856dd17ef7ca35adbcf181b2a8"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82126368_01.jpg"",""path"":""files/Краска для потолков ВД супербелая 14 кг/82126368_01.jpg"",""checksum"":""cbcd055648a83f962dce84ad36461b1c"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82126368_02.jpg"",""path"":""files/Краска для потолков ВД супербелая 14 кг/82126368_02.jpg"",""checksum"":""0c42f02dd15b28280516dae2d678257d"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82126368_03.jpg"",""path"":""files/Краска для потолков ВД супербелая 14 кг/82126368_03.jpg"",""checksum"":""3a807034e8dee746c74a97de9f2741ac"",""status"":""downloaded""}]",576,https://leroymerlin.ru/product/kraska-dlya-potolkov-vd-superbelaya-14-kg-82126368/,14.45,Россия,"Гардеробная, Гостиная, Коридор, Спальня",Без запаха,,42-84,На водной основе,Белый,Не моющийся,,"24, 24.0",,Отсутствует,Белый,,,Матовый,,Потолок,"Бетон, Дерево, Кирпич, Штукатурка, Гипсокартон","1, 1.0",,Краска для внутреннего применения на поверхностях разного типа,Нет,Отсутствует
5f2c0737558abb54443b3cf6,Средство для удаления красок Dufa 0.75 л,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/10046707.jpg"",""path"":""files/Средство для удаления красок Dufa 0.75 л/10046707.jpg"",""checksum"":""57606d23c5fbd93ba9661bf5a4484d85"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/10046707_01.jpg"",""path"":""files/Средство для удаления красок Dufa 0.75 л/10046707_01.jpg"",""checksum"":""4c0eae4545c4f3f33df694ac7274cdc1"",""status"":""downloaded""}]",525,https://leroymerlin.ru/product/sredstvo-dlya-udaleniya-krasok-dufa-0-75-l-10046707/,0.885,Германия,,,,,,,,DUFA,,,2,,,0.75,,,,,,Банка/Горшок,Очиститель древесины,,
5f2c0742558abb54443b3cf7,Краска для потолков Ярославские Краски цвет белый 1 л,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111495.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 1 л/82111495.jpg"",""checksum"":""d0748dac712dd02765164d2ed6a95844"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111495_01.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 1 л/82111495_01.jpg"",""checksum"":""86a2ebd08e32d7099a4d41a08039aea3"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111495_02.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 1 л/82111495_02.jpg"",""checksum"":""6c4a36794fe31a3146f77246a9016945"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82111495_03.jpg"",""path"":""files/Краска для потолков Ярославские Краски цвет белый 1 л/82111495_03.jpg"",""checksum"":""e6d4a629ca8d8a516fe8db5ed2624f20"",""status"":""downloaded""}]",173,https://leroymerlin.ru/product/kraska-dlya-potolkov-yaroslavskie-kraski-cvet-belyy-1-l-82111495/,1.543,Россия,"Гардеробная, Гостиная, Коридор, Спальня",Без запаха,,6,На водной основе,Белый,Влажная уборка,ЯРОСЛАВСКИЕ КРАСКИ,"24, 24.0",,2,Белый,,"1, 1.0",Матовый,Матовый глубокий,Потолок,"Шпатлевка, Бетон, Цемент, Кирпич, Гипс","2, 2.0",,Краска для внутренних покрытий,Нет,Отсутствует
5f2c074a558abb54443b3cf8,Краска для потолков цвет белый 2.5 кг,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82276530.jpg"",""path"":""files/Краска для потолков цвет белый 2.5 кг/82276530.jpg"",""checksum"":""9f1765d8c53124368047639e5aed702c"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/82276530_01.jpg"",""path"":""files/Краска для потолков цвет белый 2.5 кг/82276530_01.jpg"",""checksum"":""a1ba26e2180f0fcd08c71a9a7ae8e537"",""status"":""downloaded""}]",70,https://leroymerlin.ru/product/kraska-dlya-potolkov-cvet-belyy-2-5-kg-82276530/,2.6,Россия,"Гардеробная, Гостиная, Коридор, Спальня",Без запаха,,7,На водной основе,Белый,Не моющийся,,"4, 4.0",,Отсутствует,Белый,,"2, 2.0",Матовый глубокий,,Потолок,"Бетон, Кирпич, Штукатурка, Гипсокартон",1.0,,Краска для внутренних покрытий,Нет,Отсутствует
5f2c0756558abb54443b3cf9,Смывка краски универсальная 0.4 кг,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/13970209.jpg"",""path"":""files/Смывка краски универсальная 0.4 кг/13970209.jpg"",""checksum"":""1313bbdaeb5ee7210d8d37a3e4fda950"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/13970209_01.jpg"",""path"":""files/Смывка краски универсальная 0.4 кг/13970209_01.jpg"",""checksum"":""6e5a02aa282cff1326559efe545f41c3"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/13970209_02.jpg"",""path"":""files/Смывка краски универсальная 0.4 кг/13970209_02.jpg"",""checksum"":""a842e96d7a326fc39356e7e004b170db"",""status"":""downloaded""}]",427,https://leroymerlin.ru/product/smyvka-kraski-universalnaya-0-4-kg-13970209/,0.527,Таиланд,Внешний / внутренний,,,,,,,BOSNY,,,5,,,0.4,,,,,,,Очиститель древесины,,
5f2c0760558abb54443b3cfa,Кисть для водных красок Dexter 50 мм,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17187406.jpg"",""path"":""files/Кисть для водных красок Dexter 50 мм/17187406.jpg"",""checksum"":""bb443a912beeb38c780137adeca37554"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17187406_01.jpg"",""path"":""files/Кисть для водных красок Dexter 50 мм/17187406_01.jpg"",""checksum"":""d10fad6ad475bc2275a66def5f4e4139"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17187406_02.jpg"",""path"":""files/Кисть для водных красок Dexter 50 мм/17187406_02.jpg"",""checksum"":""a50a6fe30bb99cf4d71ddef7be75264b"",""status"":""downloaded""}]",118,https://leroymerlin.ru/product/kist-dlya-vodnyh-krasok-dexter-50-mm-17187406/,0.06,Китай,,,,,,,,DEXTER,,Алкидный и акриловый,,Жёлтый / золотой,,,,Кисть,Универсальный,,,Без упаковки,Кисть,,
5f2c076a558abb54443b3cfb,Кисть для водных красок Dexter 70 мм,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17187377.jpg"",""path"":""files/Кисть для водных красок Dexter 70 мм/17187377.jpg"",""checksum"":""3a054df5042eb79c573e5dfd509611c2"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17187377_01.jpg"",""path"":""files/Кисть для водных красок Dexter 70 мм/17187377_01.jpg"",""checksum"":""2a1fc0fc7191fb4392949dd9d459022d"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/17187377_02.jpg"",""path"":""files/Кисть для водных красок Dexter 70 мм/17187377_02.jpg"",""checksum"":""2ba95597a409ec88d1d1e91027f63bac"",""status"":""downloaded""}]",142,https://leroymerlin.ru/product/kist-dlya-vodnyh-krasok-dexter-70-mm-17187377/,0.094,Китай,,,,,,,,DEXTER,,Алкидный и акриловый,,Жёлтый / золотой,,,,Кисть,Универсальный,,,Без упаковки,Кисть,,
5f2c0770558abb54443b3cfc,Краска для пола Aquastrong 2 кг  цвет коричневый,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/16133334.jpg"",""path"":""files/Краска для пола Aquastrong 2 кг  цвет коричневый/16133334.jpg"",""checksum"":""48065c6134468a0f8e4529dcf35c3b1a"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/16133334_01.jpg"",""path"":""files/Краска для пола Aquastrong 2 кг  цвет коричневый/16133334_01.jpg"",""checksum"":""c01bf0da3bf92b5ae43fd8690f37eb06"",""status"":""downloaded""}]",1047,https://leroymerlin.ru/product/kraska-dlya-pola-aquastrong-2-kg-cvet-korichnevyy-16133334/,2,Россия,Внутренний и внешний,Без запаха,,3,Акрил,Коричневый,,AQUASTRONG,"24, 24.0",,2,Коричневый,,,Матовый,,Пол,"Бетон, Цемент, Плитка, Камень","2, 1.0",Банка/Горшок,Краска для пола,Нет,
5f2c0779558abb54443b3cfd,Краска Тиккурила Pika-Teho 2.7 л,"[{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/14195822.jpg"",""path"":""files/Краска Тиккурила Pika-Teho 2.7 л/14195822.jpg"",""checksum"":""e62230e4e3d95fc845483674d4327af5"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/14195822_01.jpg"",""path"":""files/Краска Тиккурила Pika-Teho 2.7 л/14195822_01.jpg"",""checksum"":""bbce1d2dcd3c8acd4af1e8171a49552f"",""status"":""downloaded""},{""url"":""https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_600,h_600,c_pad,b_white,d_photoiscoming.png/LMCode/14195822_02.jpg"",""path"":""files/Краска Тиккурила Pika-Teho 2.7 л/14195822_02.jpg"",""checksum"":""fb2602c3bbe29e752bf9b437cdf19214"",""status"":""downloaded""}]",3038,https://leroymerlin.ru/product/kraska-tikkurila-pika-teho-2-7-l-14195822/,2.855,Финляндия,Только наружный,Без запаха,,,Акрил,Белый (доступна колеровка),,TIKKURILA,"4, 3.0",,,Белый,,2.7,Матовый,,,Дерево,"4, 3.0",Банка/Горшок,Краска для дерева для применения на открытом воздухе,Да,
